Designator,Footprint,Quantity,Value,LCSC Part #
"24V1, 3V3, GND1",TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile,3,TestPoint,
"C1, C4",0805,2,0.1 uF,
C2,CP_Elec_5x5.4,1,10 uF,
C3,0805,1,"1 uF, 16V",
"C5, C6",0805,2,"1 uF, 6.3v",
D1,1206,1,LED,
J1,Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm,1,Conn_01x02_Pin,
J3,Samtec_HPM-03-01-x-S_Straight_1x03_Pitch5.08mm,1,Conn_01x03_Pin,
J4,Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm,1,A/B Position Feedback,
J5,Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm,1,PWM,
"Q1, Q2, Q3, Q4",VSON-CLIP-8_L5.0-W6.0-P1.27-BL,4,~,
R1,0805,1,2k R,
R2,0805,1,3.3kR,
R3,0805,1,68k R,
R4,0805,1,0.03 R,
"R5, R6, R7",0805,3,10k R,
"U1_2, U1, U3_2, U3",VQFN-24_L4.0-W4.0-P0.50-BL-EP2.5,4,~,
U2,CONN-TH_L53.3-W22.9_STM32F103C8T6-CARD,1,~,
VR1,RES-ADJ-TH_3362P,1,10kΩ,
